LC,Name,Lat,Lon,Altitude,tExp
stcapraist94cm.dat,SaintCaprais94cm,43 52 25.9,01 43 05.8,185.0,0.05
steyning.dat,Steyning,50 53 16.0,-00 19 57.0,20.0,2.00
stmauricenav.dat,SaintMaurice-Navacelles,43 50 39.3,03 33 47.3,583,0.63
stmichel.dat,SaintMichel,43 54 23.3,05 43 34.7,564,0.04
stuttgart.dat,Stuttgart,48 46 56.7,09 11 47.4,346,0.63
tournefeuille.dat,Tournefeuille,43 34 58.8,01 19 35.4,163,0.25
uclobservatory.dat,UCLObservatory,51 36 47.6,-00 14 32.3,82,1.00
valencia.dat,Valencia,39 56 42.0,-01 06 05.4,1280,1.00
valledaosta.dat,ValledAosta,45 47 23.1,07 28 42.3,1675,0.19
varages.dat,Varages,43 36 44.6,05 57 49.1,300.0,2.30
visker.dat,Visker,43.144847,0.058032,420,1.26
